"gid","nom_dept","nom_com","nom_station","code_station","typologie","influence","ozone","mois","annee","X","Y","no2","pm10","s02"
20,"LOIRE","Saint-Ã‰tienne","SAINT ETIENNE SUD","FR29424","urban","Fond",78.9,4,2018,4.395419639,45.4201064,13.2,13.7,
27,"HAUTE-SAVOIE","Chamonix-Mont-Blanc","CHAMONIX","FR33120","urban","Fond",35.5,2,2018,6.869996699,45.92253686,34.0,22.2,
110,"ISERE","Grenoble","Villeneuve","FR15008","suburban","Fond",,1,2018,5.736395372,45.16140417,,,
3,"ISERE","Grenoble","Grenoble Les Frenes","FR15043","urban","Fond",63.4,9,2018,5.735603366,45.16187407,15.3,17.7,0.2
106,"LOIRE","Firminy","FIRMINY","FR29425","urban","Fond",,11,2018,4.281682417,45.38796299,,,
8,"RHONE","Vaulx-en-Velin","VAULX EN VELIN","FR20046","urban","Fond",68.3,6,2018,4.924700509,45.77887089,10.1,12.1,
29,"HAUTE-SAVOIE","Saint-Germain-sur-RhÃ´ne","St Germain/RhÃ´ne","FR33302","rural-nearcity","Fond",29.1,11,2018,5.820837783,46.07223918,11.5,14.4,0.1
5,"ISERE","Grenoble","Grenoble Les Frenes","FR15043","urban","Fond",43.1,3,2018,5.735603366,45.16187407,23.4,14.1,0.6
13,"ISERE","Roussillon","ROUSSILLON","FR27002","urban","Fond",41.9,10,2018,4.805142184,45.36778213,24.2,18.8,
10,"RHONE","Vaulx-en-Velin","VAULX EN VELIN","FR20046","urban","Fond",27.8,12,2017,4.924700509,45.77887089,22.2,15.1,
33,"HAUTE-SAVOIE","Saint-Germain-sur-RhÃ´ne","St Germain/RhÃ´ne","FR33302","rural-nearcity","Fond",71.2,5,2018,5.820837783,46.07223918,4.9,14.1,0.3
57,"ISERE","Vienne","Vienne Estressin","FR27102","suburban","Fond",,10,2018,4.863904251,45.53975628,,,
107,"LOIRE","Firminy","FIRMINY","FR29425","urban","Fond",,5,2018,4.281682417,45.38796299,,,
21,"LOIRE","Saint-Chamond","SAINT-CHAMOND","FR29426","urban","Fond",27.6,12,2017,4.514999613,45.47529369,32.2,13.8,
6,"RHONE","Pusignan","SAINT EXUPERY","FR20048","suburban","Fond",89.8,8,2018,5.070377771,45.75485265,6.9,13.7,
17,"LOIRE","Saint-Ã‰tienne","SAINT ETIENNE SUD","FR29424","urban","Fond",48.0,10,2018,4.395419639,45.4201064,20.6,17.9,
56,"ISERE","Vienne","Vienne Estressin","FR27102","suburban","Fond",,4,2018,4.863904251,45.53975628,,,
98,"ISERE","Vienne","Vienne Centre","FR27004","urban","Fond",,12,2017,4.875409555,45.52596386,,,
9,"RHONE","Ternay","TERNAY","FR20037","suburban","Fond",65.2,5,2018,4.802195719,45.60192128,12.3,17.5,
70,"ISERE","Fontaine","Fontaine Les Balmes","FR15017","urban","Fond",,9,2018,5.686968799,45.19044442,,,
11,"RHONE","Vaulx-en-Velin","VAULX EN VELIN","FR20046","urban","Fond",20.2,12,2018,4.924700509,45.77887089,25.8,19.0,
128,"LOIRE","Veauche","VEAUCHE","FR29427","suburban","Industrielle",,4,2018,4.298550264,45.56581455,,,
4,"ISERE","Saint-Martin-d'HÃ¨res","St Martin dHeres","FR15038","urban","Fond",10.3,12,2018,5.75310114,45.18279644,38.6,23.1,
23,"SAVOIE","ChambÃ©ry","CHAMBERY LE HAUT","FR33102","urban","Fond",77.3,4,2018,5.918616424,45.59668502,11.7,15.0,
16,"HAUTE-SAVOIE","Chamonix-Mont-Blanc","CHAMONIX","FR33120","urban","Fond",57.3,8,2018,6.869996699,45.92253686,15.8,13.0,
6,"RHONE","Lyon","GERLAND","FR20017","urban","Fond",64.2,6,2018,4.829800054,45.73532325,14.8,16.1,
12,"RHONE","Lyon","LYON Centre","FR20062","urban","Fond",79.6,4,2018,4.853725888,45.75799123,20.9,18.0,
40,"PUY-DE-DOME","Clermont-Ferrand","Jardin Lecoq","FR07009","urban","Fond",30.7,11,2018,3.087501101,45.77219697,26.7,,
87,"RHONE","Villeurbanne","CROIX LUIZET","FR20020","urban","Fond",,9,2018,4.894029845,45.77641745,,,
39,"LOIRE","Saint-Chamond","SAINT-CHAMOND","FR29426","urban","Fond",20.8,12,2018,4.514999613,45.47529369,34.1,16.2,
27,"HAUTE-SAVOIE","Annecy","LOVERCHY","FR33201","urban","Fond",22.7,12,2017,6.118449775,45.89538066,30.3,19.8,
99,"ISERE","Vienne","Vienne Centre","FR27004","urban","Fond",,12,2018,4.875409555,45.52596386,,,
16,"LOIRE","Roanne","ROANNE","FR29423","urban","Fond",30.0,11,2018,4.074653898,46.04106794,23.8,13.4,
129,"LOIRE","Veauche","VEAUCHE","FR29427","suburban","Industrielle",,5,2018,4.298550264,45.56581455,,,
9,"RHONE","Vaulx-en-Velin","VAULX EN VELIN","FR20046","urban","Fond",28.4,1,2018,4.924700509,45.77887089,24.0,13.8,
28,"HAUTE-SAVOIE","Saint-Germain-sur-RhÃ´ne","St Germain/RhÃ´ne","FR33302","rural-nearcity","Fond",77.4,6,2018,5.820837783,46.07223918,4.2,13.7,-0.2
20,"SAVOIE","ChambÃ©ry","PASTEUR","FR33101","urban","Fond",69.9,6,2018,5.928435518,45.56462103,11.2,11.6,
28,"HAUTE-SAVOIE","Annemasse","ANNEMASSE","FR33211","urban","Fond",71.7,4,2018,6.240562703,46.19584661,18.4,18.2,
32,"HAUTE-SAVOIE","Passy","PASSY","FR33220","suburban","Fond",31.6,2,2018,6.713642902,45.9235436,23.9,30.0,
32,"DROME","Valence","Valence Urb. Centre","FR36002","urban","Fond",24.4,11,2018,4.893674494,44.93318986,25.7,17.7,
92,"PUY-DE-DOME","Clermont-Ferrand","Centre Ville","FR07003","urban","Fond",,7,2018,3.083334107,45.77364091,,,
18,"LOIRE","Saint-Chamond","SAINT-CHAMOND","FR29426","urban","Fond",64.5,6,2018,4.514999613,45.47529369,16.2,10.6,
39,"PUY-DE-DOME","Clermont-Ferrand","Montferrand","FR07004","urban","Fond",62.8,3,2018,3.113828888,45.79729717,17.3,,
56,"HAUTE-SAVOIE","Passy","PASSY","FR33220","suburban","Fond",45.8,3,2018,6.713642902,45.9235436,22.7,23.1,
110,"ISERE","Grenoble","Villeneuve","FR15008","suburban","Fond",,7,2018,5.736395372,45.16140417,,,
106,"LOIRE","Firminy","FIRMINY","FR29425","urban","Fond",,4,2018,4.281682417,45.38796299,,,
23,"SAVOIE","ChambÃ©ry","PASTEUR","FR33101","urban","Fond",23.9,12,2017,5.928435518,45.56462103,33.0,17.3,
21,"LOIRE","Roanne","ROANNE","FR29423","urban","Fond",66.5,5,2018,4.074653898,46.04106794,13.4,11.6,
8,"RHONE","Lyon","GERLAND","FR20017","urban","Fond",32.1,12,2017,4.829800054,45.73532325,30.7,15.0,
62,"RHONE","Villefranche-sur-SaÃ´ne","VILLEFRANCHE Village","FR20061","urban","Fond",,3,2018,4.719285546,45.98637779,,,
20,"SAVOIE","ChambÃ©ry","PASTEUR","FR33101","urban","Fond",92.1,7,2018,5.928435518,45.56462103,11.9,12.9,
89,"RHONE","Villeurbanne","CROIX LUIZET","FR20020","urban","Fond",,3,2018,4.894029845,45.77641745,,,
91,"PUY-DE-DOME","Clermont-Ferrand","Centre Ville","FR07003","urban","Fond",,6,2018,3.083334107,45.77364091,,,
42,"PUY-DE-DOME","Clermont-Ferrand","Montferrand","FR07004","urban","Fond",44.1,10,2018,3.113828888,45.79729717,22.4,,
21,"SAVOIE","ChambÃ©ry","CHAMBERY LE HAUT","FR33102","urban","Fond",41.0,10,2018,5.918616424,45.59668502,19.5,,
4,"ISERE","Saint-Martin-d'HÃ¨res","St Martin dHeres","FR15038","urban","Fond",51.1,5,2018,5.75310114,45.18279644,13.1,15.6,
70,"ISERE","Fontaine","Fontaine Les Balmes","FR15017","urban","Fond",,8,2018,5.686968799,45.19044442,,,
21,"HAUTE-SAVOIE","Chamonix-Mont-Blanc","CHAMONIX","FR33120","urban","Fond",45.8,9,2018,6.869996699,45.92253686,16.5,15.4,
111,"ISERE","Grenoble","Villeneuve","FR15008","suburban","Fond",,8,2018,5.736395372,45.16140417,,,
60,"RHONE","Villefranche-sur-SaÃ´ne","VILLEFRANCHE Village","FR20061","urban","Fond",,4,2018,4.719285546,45.98637779,,,
37,"PUY-DE-DOME","Clermont-Ferrand","Jardin Lecoq","FR07009","urban","Fond",77.3,4,2018,3.087501101,45.77219697,15.0,12.6,
42,"PUY-DE-DOME","Clermont-Ferrand","Montferrand","FR07004","urban","Fond",61.4,9,2018,3.113828888,45.79729717,19.1,,
38,"SAVOIE","ChambÃ©ry","CHAMBERY LE HAUT","FR33102","urban","Fond",15.7,11,2018,5.918616424,45.59668502,24.7,,
112,"ISERE","Grenoble","Villeneuve","FR15008","suburban","Fond",,2,2018,5.736395372,45.16140417,,,
5,"ISERE","Grenoble","Grenoble Les Frenes","FR15043","urban","Fond",30.6,10,2018,5.735603366,45.16187407,22.3,18.6,0.8
61,"RHONE","Villefranche-sur-SaÃ´ne","VILLEFRANCHE Village","FR20061","urban","Fond",,10,2018,4.719285546,45.98637779,,,
33,"HAUTE-SAVOIE","Saint-Germain-sur-RhÃ´ne","St Germain/RhÃ´ne","FR33302","rural-nearcity","Fond",34.5,12,2018,5.820837783,46.07223918,11.2,12.5,0.1
36,"DROME","Valence","Valence Urb. Centre","FR36002","urban","Fond",66.6,5,2018,4.893674494,44.93318986,15.2,15.3,
27,"HAUTE-SAVOIE","Annemasse","ANNEMASSE","FR33211","urban","Fond",35.7,10,2018,6.240562703,46.19584661,25.6,22.2,
4,"ISERE","Saint-Martin-d'HÃ¨res","St Martin dHeres","FR15038","urban","Fond",13.2,11,2018,5.75310114,45.18279644,30.5,21.9,
24,"SAVOIE","Saint-Jean-de-Maurienne","SAINT JEAN","FR33111","urban","Fond",24.2,12,2017,6.349723082,45.27471893,31.5,14.6,10.3
28,"HAUTE-SAVOIE","Annecy","LOVERCHY","FR33201","urban","Fond",16.0,12,2018,6.118449775,45.89538066,,19.3,
94,"PUY-DE-DOME","Clermont-Ferrand","Centre Ville","FR07003","urban","Fond",,12,2018,3.083334107,45.77364091,,,
72,"ISERE","Fontaine","Fontaine Les Balmes","FR15017","urban","Fond",,2,2018,5.686968799,45.19044442,,,
106,"LOIRE","Firminy","FIRMINY","FR29425","urban","Fond",,10,2018,4.281682417,45.38796299,,,
33,"DROME","Valence","Valence Urb. Centre","FR36002","urban","Fond",72.0,4,2018,4.893674494,44.93318986,17.9,15.6,
93,"PUY-DE-DOME","Clermont-Ferrand","Centre Ville","FR07003","urban","Fond",,12,2017,3.083334107,45.77364091,,,
36,"PUY-DE-DOME","Clermont-Ferrand","Montferrand","FR07004","urban","Fond",71.5,4,2018,3.113828888,45.79729717,15.2,,
61,"RHONE","Villefranche-sur-SaÃ´ne","VILLEFRANCHE Village","FR20061","urban","Fond",,9,2018,4.719285546,45.98637779,,,
27,"HAUTE-SAVOIE","Passy","PASSY","FR33220","suburban","Fond",60.1,9,2018,6.713642902,45.9235436,10.3,22.6,
132,"LOIRE","Saint-Ã‰tienne","COUBERTIN","FR29421","suburban","Fond",,5,2018,4.389781793,45.46673742,,,
10,"AIN","Miribel","COTIERE AIN","FR20047","suburban","Fond",34.3,1,2018,4.953959787,45.82322611,,12.8,
73,"RHONE","Lyon","GARIBALDI","FR20003","urban","Trafic",,10,2018,4.850295216,45.7681358,,,
108,"SAVOIE","Saint-Jean-de-Maurienne","SAINT JEAN","FR33111","urban","Fond",,6,2018,6.349723082,45.27471893,3.2,17.4,3.5
37,"RHONE","Lyon","LYON Centre","FR20062","urban","Fond",42.1,10,2018,4.853725888,45.75799123,25.9,22.5,
16,"ISERE","Roussillon","ROUSSILLON","FR27002","urban","Fond",69.5,5,2018,4.805142184,45.36778213,15.0,20.4,
128,"LOIRE","Veauche","VEAUCHE","FR29427","suburban","Industrielle",,11,2018,4.298550264,45.56581455,,,
51,"HAUTE-SAVOIE","Saint-Germain-sur-RhÃ´ne","St Germain/RhÃ´ne","FR33302","rural-nearcity","Fond",44.6,12,2017,5.820837783,46.07223918,12.9,14.0,0.7
87,"ISERE","Grenoble","Grenoble Les Frenes","FR15043","urban","Fond",,4,2018,5.735603366,45.16187407,14.6,17.0,-0.2
12,"ISERE","Roussillon","ROUSSILLON","FR27002","urban","Fond",23.0,11,2018,4.805142184,45.36778213,,19.3,
25,"SAVOIE","Saint-Jean-de-Maurienne","SAINT JEAN","FR33111","urban","Fond",21.6,12,2018,6.349723082,45.27471893,25.3,19.2,10.2
132,"LOIRE","Saint-Ã‰tienne","COUBERTIN","FR29421","suburban","Fond",,12,2018,4.389781793,45.46673742,,,
11,"RHONE","Pusignan","SAINT EXUPERY","FR20048","suburban","Fond",35.8,2,2018,5.070377771,45.75485265,17.2,21.3,
96,"ISERE","Vienne","Vienne Centre","FR27004","urban","Fond",,6,2018,4.875409555,45.52596386,,,
6,"RHONE","Ternay","TERNAY","FR20037","suburban","Fond",24.9,11,2018,4.802195719,45.60192128,23.5,25.1,
28,"AIN","Miribel","COTIERE AIN","FR20047","suburban","Fond",86.7,8,2018,4.953959787,45.82322611,5.0,10.5,
19,"HAUTE-SAVOIE","Passy","PASSY","FR33220","suburban","Fond",69.1,8,2018,6.713642902,45.9235436,7.8,14.8,
55,"SAVOIE","ChambÃ©ry","PASTEUR","FR33101","urban","Fond",18.9,12,2018,5.928435518,45.56462103,24.6,15.6,
14,"ISERE","Roussillon","ROUSSILLON","FR27002","urban","Fond",68.3,4,2018,4.805142184,45.36778213,20.5,19.7,
7,"RHONE","Vaulx-en-Velin","VAULX EN VELIN","FR20046","urban","Fond",84.1,7,2018,4.924700509,45.77887089,12.9,,
39,"PUY-DE-DOME","Clermont-Ferrand","Jardin Lecoq","FR07009","urban","Fond",68.6,5,2018,3.087501101,45.77219697,16.1,,
128,"LOIRE","Veauche","VEAUCHE","FR29427","suburban","Industrielle",,10,2018,4.298550264,45.56581455,,,
8,"AIN","Miribel","COTIERE AIN","FR20047","suburban","Fond",98.9,7,2018,4.953959787,45.82322611,10.1,13.2,
23,"HAUTE-SAVOIE","Annecy","LOVERCHY","FR33201","urban","Fond",65.5,6,2018,6.118449775,45.89538066,11.2,14.9,
131,"LOIRE","Saint-Ã‰tienne","COUBERTIN","FR29421","suburban","Fond",,11,2018,4.389781793,45.46673742,,,
58,"ISERE","Vienne","Vienne Estressin","FR27102","suburban","Fond",,3,2018,4.863904251,45.53975628,,,
9,"RHONE","Lyon","GERLAND","FR20017","urban","Fond",23.1,12,2018,4.829800054,45.73532325,42.6,20.2,
72,"RHONE","Lyon","GARIBALDI","FR20003","urban","Trafic",,4,2018,4.850295216,45.7681358,,,
53,"SAVOIE","Saint-Jean-de-Maurienne","SAINT JEAN","FR33111","urban","Fond",29.4,1,2018,6.349723082,45.27471893,25.9,14.4,10.5
16,"LOIRE","Roanne","ROANNE","FR29423","urban","Fond",62.8,6,2018,4.074653898,46.04106794,12.7,10.3,
25,"HAUTE-SAVOIE","Annemasse","ANNEMASSE","FR33211","urban","Fond",83.1,6,2018,6.240562703,46.19584661,9.4,14.3,
31,"DROME","Valence","Valence Urb. Centre","FR36002","urban","Fond",76.4,6,2018,4.893674494,44.93318986,12.0,,
17,"HAUTE-SAVOIE","Annecy","LOVERCHY","FR33201","urban","Fond",76.6,8,2018,6.118449775,45.89538066,13.9,14.0,
38,"PUY-DE-DOME","Clermont-Ferrand","Montferrand","FR07004","urban","Fond",64.9,5,2018,3.113828888,45.79729717,16.9,,
36,"PUY-DE-DOME","Clermont-Ferrand","Jardin Lecoq","FR07009","urban","Fond",40.7,12,2017,3.087501101,45.77219697,26.6,11.1,
30,"HAUTE-SAVOIE","Passy","PASSY","FR33220","suburban","Fond",75.2,4,2018,6.713642902,45.9235436,11.0,17.7,
29,"HAUTE-SAVOIE","Passy","PASSY","FR33220","suburban","Fond",33.9,10,2018,6.713642902,45.9235436,17.4,23.4,
132,"LOIRE","Saint-Ã‰tienne","COUBERTIN","FR29421","suburban","Fond",,1,2018,4.389781793,45.46673742,,,
9,"AIN","Miribel","COTIERE AIN","FR20047","suburban","Fond",67.4,9,2018,4.953959787,45.82322611,7.6,14.2,
62,"RHONE","Villefranche-sur-SaÃ´ne","VILLEFRANCHE Village","FR20061","urban","Fond",,5,2018,4.719285546,45.98637779,,,
32,"DROME","Valence","Valence Urb. Centre","FR36002","urban","Fond",29.9,12,2017,4.893674494,44.93318986,26.9,15.1,
36,"DROME","Valence","Valence Urb. Centre","FR36002","urban","Fond",21.5,12,2018,4.893674494,44.93318986,28.5,18.0,
110,"ISERE","Grenoble","Villeneuve","FR15008","suburban","Fond",,9,2018,5.736395372,45.16140417,,,
70,"ISERE","Fontaine","Fontaine Les Balmes","FR15017","urban","Fond",,10,2018,5.686968799,45.19044442,,,
22,"SAVOIE","Saint-Jean-de-Maurienne","SAINT JEAN","FR33111","urban","Fond",86.6,7,2018,6.349723082,45.27471893,6.9,19.4,4.8
113,"SAVOIE","ChambÃ©ry","CHAMBERY LE HAUT","FR33102","urban","Fond",,12,2017,5.918616424,45.59668502,26.8,18.1,
15,"RHONE","Lyon","LYON Centre","FR20062","urban","Fond",24.1,12,2018,4.853725888,45.75799123,34.6,,
80,"RHONE","Pusignan","SAINT EXUPERY","FR20048","suburban","Fond",,3,2018,5.070377771,45.75485265,16.7,13.6,
107,"ISERE","Saint-Martin-d'HÃ¨res","St Martin dHeres","FR15038","urban","Fond",,12,2017,5.75310114,45.18279644,,,
88,"RHONE","Villeurbanne","CROIX LUIZET","FR20020","urban","Fond",,5,2018,4.894029845,45.77641745,,,
93,"PUY-DE-DOME","Clermont-Ferrand","Centre Ville","FR07003","urban","Fond",,8,2018,3.083334107,45.77364091,,,
24,"SAVOIE","ChambÃ©ry","CHAMBERY LE HAUT","FR33102","urban","Fond",24.6,12,2018,5.918616424,45.59668502,26.6,16.8,
69,"RHONE","Lyon","GARIBALDI","FR20003","urban","Trafic",,6,2018,4.850295216,45.7681358,,,
26,"HAUTE-SAVOIE","Annemasse","ANNEMASSE","FR33211","urban","Fond",14.3,11,2018,6.240562703,46.19584661,26.8,21.0,
5,"RHONE","Lyon","GERLAND","FR20017","urban","Fond",77.8,7,2018,4.829800054,45.73532325,20.5,20.3,
7,"RHONE","Lyon","GERLAND","FR20017","urban","Fond",30.7,1,2018,4.829800054,45.73532325,32.9,14.7,
39,"PUY-DE-DOME","Clermont-Ferrand","Montferrand","FR07004","urban","Fond",30.1,11,2018,3.113828888,45.79729717,24.1,,
52,"ISERE","Vienne","Vienne Estressin","FR27102","suburban","Fond",,6,2018,4.863904251,45.53975628,,,
100,"ISERE","Vienne","Vienne Centre","FR27004","urban","Fond",,2,2018,4.875409555,45.52596386,,,
6,"RHONE","Ternay","TERNAY","FR20037","suburban","Fond",87.1,7,2018,4.802195719,45.60192128,16.2,19.2,
10,"AIN","Miribel","COTIERE AIN","FR20047","suburban","Fond",42.5,2,2018,4.953959787,45.82322611,,22.9,
51,"ISERE","Saint-Martin-d'HÃ¨res","St Martin dHeres","FR15038","urban","Fond",19.0,1,2018,5.75310114,45.18279644,38.4,14.7,
107,"LOIRE","Firminy","FIRMINY","FR29425","urban","Fond",,12,2018,4.281682417,45.38796299,,,
32,"SAVOIE","ChambÃ©ry","PASTEUR","FR33101","urban","Fond",68.0,8,2018,5.928435518,45.56462103,11.1,10.8,
30,"HAUTE-SAVOIE","Annemasse","ANNEMASSE","FR33211","urban","Fond",24.8,12,2018,6.240562703,46.19584661,27.0,15.3,
